id,feedback,relevance,concreteness,constructive
1955,,0,0,0
1956,,0,0,0
1957,,0,0,0
1958,,0,0,0
1959,,0,0,0
1960,,0,0,0
1961,,0,0,0
1962,,0,0,0
1963,pass,0,0,0
1964,pass,0,0,0
1965,pass,0,0,0
1966,pass,0,0,0
1967,pass,0,0,0
1968,pass,0,0,0
1969,PASS,0,0,0
1970,PASS,0,0,0
1971,PASS,0,0,0
1972,符合,1,0,0
1973,可編譯,0,0,0
1974,符合,1,0,0
1975,符合,1,0,0
1976,符合,1,0,0
1977,符合,1,0,0
1978,符合,1,0,0
1979,符合,1,0,0
1980,符合,1,0,0
1981,pass,0,0,0
1982,不知道為甚麼我無法編譯，但我認為是我的問題,0,0,0
1983,pass,0,0,0
1984,pass,0,0,0
1985,pass,0,0,0
1986,pass,0,0,0
1987,,0,0,0
1988,,0,0,0
1989,,0,0,0
1990,PASS,0,0,0
1991,PASS,0,0,0
1992,無註解,1,0,0
1993,PASS,0,0,0
1994,PASS,0,0,0
1995,PASS,0,0,0
1996,未完成,0,0,0
1997,未完成,0,0,0
1998,未完成,0,0,0
1999,未完成,0,0,0
2000,未完成,0,0,0
2001,未完成,0,0,0
2002,未完成,0,0,0
2003,未完成,0,0,0
2004,未完成,0,0,0
2005,,0,0,0
2006,,0,0,0
2007,需注意CheckStyle,1,0,0
2008,,0,0,0
2009,,0,0,0
2010,FirstPokemon 跟 SecondPokemon需更改,1,1,0
2011,FirstPokemon 跟 SecondPokemon需更改,1,1,0
2012,,0,0,0
2013,,0,0,0
2014,,0,0,0
2015,,0,0,0
2016,CheckStyle 需注意,1,0,0
2017,,0,0,0
2018,,0,0,0
2019,,0,0,0
2020,,0,0,0
2021,,0,0,0
2022,,0,0,0
2023,,0,0,0
2024,,0,0,0
2025,CheckStyle 需注意,1,0,0
2026,,0,0,0
2027,,0,0,0
2028,,0,0,0
2029,,0,0,0
2030,,0,0,0
2031,,0,0,0
2032,,0,0,0
2033,,0,0,0
2034,CheckStyle 需注意,1,0,0
2035,,0,0,0
2036,,0,0,0
2037,,0,0,0
2038,,0,0,0
2039,,0,0,0
2040,,0,0,0
2041,,0,0,0
2042,,0,0,0
2043,,0,0,0
2044,,0,0,0
2045,,0,0,0
2046,CheckSytle 需注意,1,0,0
2047,,0,0,0
2048,,0,0,0
2049,CheckStyle 需注意,1,0,0
2050,"符合要求，跟上次一樣Calculator輸出時包含小數點""，MultiplicationTable輸出時每行最後沒有'，'""",1,1,1
2051,編譯成功,0,0,0
2052,有明確的注解説明,1,0,0
2053,"跟題目要求符合，只是MultiplicationTable""中間沒有顯示空格而已。""",1,1,0
2054,編譯成功,0,0,0
2055,沒有注解，但容易懂的邏輯,1,0,0
2056,"Calculator 題目"" : 我也寫作業的時候，沒發現下面 **錯誤處理：** - 如果運算符號是 / 或 % 且第二個數字是 0，則顯示 ""Division by zero is not allowed"" 的錯誤訊息。""",1,1,0
2057,編譯成功,0,0,0
2058,	沒有特別用注解説明，但邏輯很簡單,1,1,0
2059,沒寫,0,0,0
2060,沒寫,0,0,0
2061,沒寫,0,0,0
2062,沒寫,0,0,0
2063,沒寫,0,0,0
2064,沒寫,0,0,0
2065,沒寫,0,0,0
2066,沒寫,0,0,0
2067,沒寫,0,0,0
2068,,0,0,0
2069,,0,0,0
2070,,0,0,0
2071,,0,0,0
2072,,0,0,0
2073,,0,0,0
2074,,0,0,0
2075,,0,0,0
2076,沒有註解,1,0,0
2077,沒有東西,0,0,0
2078,沒有東西,0,0,0
2079,沒有東西,0,0,0
2080,沒有東西,0,0,0
2081,沒有東西,0,0,0
2082,沒有東西,0,0,0
2083,沒有東西,0,0,0
2084,沒有東西,0,0,0
2085,沒有東西,0,0,0
2086,不符合題目要求,1,0,0
2087,,0,0,0
2088,,0,0,0
2089,,0,0,0
2090,,0,0,0
2091,,0,0,0
2092,,0,0,0
2093,,0,0,0
2094,,0,0,0
2095,跟要求符合,1,0,0
2096,編譯成功,0,0,0
2097,寫程式的很整齊,1,0,0
2098,有一致性,0,0,0
2099,都很明確,0,0,0
2100,類別名稱也沒問題,1,0,0
2101,都很符合,1,0,0
2102,"if, else 跟 return 寫在同一行但閲讀上沒問題的感覺",1,1,0
2103,注解説明有幫助瞭解程式,1,0,0
2104,"跟要求符合，只是levelUp()方法會收到parameter(candy)，instance.levelUp()""這樣來進行合理的感覺，不然instance的candy不會減少""",1,1,0
2105,編譯成功,0,0,0
2106,寫得很整齊,1,0,0
2107,有一致性,0,0,0
2108,變數很符合,1,0,0
2109,類別命名也很符合,1,0,0
2110,感覺 toStirng() -> displayInfo(),1,1,0
2111,几乎都是，閲讀上沒問題,1,0,0
2112,很好,0,0,0
2113,跟要求符合，只是Pokemon 建構子（Constructor）**：  - 創建一個建構子，**接受四個參數**來初始化上述屬性。Gym 建構子（Constructor）**：  - 創建一個建構子，接受一個參數來初始化 `name` 屬性。,1,1,1
2114,編譯成功,0,0,0
2115,寫得很整齊,1,0,0
2116,有一致性,0,0,0
2117,很符合，很標准,1,0,0
2118,都沒問題,0,0,0
2119,也都沒問題,1,0,0
2120,是的，一行一個敘述,1,0,0
2121,有注解説明,1,0,0
2122,,0,0,0
2123,,0,0,0
2124,,0,0,0
2125,,0,0,0
2126,,0,0,0
2127,,0,0,0
2128,,0,0,0
2129,,0,0,0
2130,,0,0,0
2131,,0,0,0
2132,,0,0,0
2133,,0,0,0
2134,,0,0,0
2135,,0,0,0
2136,,0,0,0
2137,,0,0,0
2138,,0,0,0
2139,,0,0,0
2140,pass,0,0,0
2141,pass,0,0,0
2142,註解明確,1,0,0
2143,檔案裏沒有程序,1,0,0
2144,檔案裏沒有程序,1,0,0
2145,檔案裏沒有程序,1,0,0
2146,檔案裏沒有程序,1,0,0
2147,檔案裏沒有程序,1,0,0
2148,檔案裏沒有程序,1,0,0
2149,檔案裏沒有程序,1,0,0
2150,檔案裏沒有程序,1,0,0
2151,檔案裏沒有程序,1,0,0
2152,pass,0,0,0
2153,pass,0,0,0
2154,pass,0,0,0
2155,九九乘法表每行最後要加逗號,1,1,0
2156,pass,0,0,0
2157,pass,0,0,0
2158,NICE,0,0,0
2159,NICE,0,0,0
2160,NICE,0,0,0
2161,NICE,0,0,0
2162,NICE,0,0,0
2163,.,0,0,0
2164,empty,0,0,0
2165,empty,0,0,0
2166,empty,0,0,0
2167,,0,0,0
2168,,0,0,0
2169,,0,0,0
2170,,0,0,0
2171,,0,0,0
2172,,0,0,0
2173,,0,0,0
2174,,0,0,0
2175,,0,0,0
2176,,0,0,0
2177,,0,0,0
2178,,0,0,0
2179,,0,0,0
2180,,0,0,0
2181,,0,0,0
2182,,0,0,0
2183,,0,0,0
2184,沒有提供解釋,1,0,0
2185,good,0,0,0
2186,good,0,0,0
2187,good,0,0,0
2188,good,0,0,0
2189,good,0,0,0
2190,good,0,0,0
2191,good,0,0,0
2192,good,0,0,0
2193,good,0,0,0
2194,,0,0,0
2195,,0,0,0
2196,,0,0,0
2197,,0,0,0
2198,,0,0,0
2199,,0,0,0
2200,文檔中沒有程式碼,1,0,0
2201,文檔中沒有程式碼,1,0,0
2202,文檔中沒有程式碼,1,0,0
2203,沒有 都空白,0,0,0
2204,沒有 ,0,0,0
2205,沒有 ,0,0,0
2206,有 正確,0,0,0
2207,成功,0,0,0
2208,沒有註解,1,0,0
2209,有 正確,0,0,0
2210,成功,0,0,0
2211,沒有註解,1,0,0
2212,有 正確,0,0,0
2213,成功,0,0,0
2214,是,0,0,0
2215,是,0,0,0
2216,是,0,0,0
2217,是,0,0,0
2218,是,0,0,0
2219,是,0,0,0
2220,沒有註解,1,0,0
2221,有 正確,0,0,0
2222,成功,0,0,0
2223,是,0,0,0
2224,是,0,0,0
2225,是,0,0,0
2226,是,0,0,0
2227,是,0,0,0
2228,是,0,0,0
2229,是,0,0,0
2230,沒有 空白,0,0,0
2231,空白,0,0,0
2232,空白,0,0,0
2233,空白,0,0,0
2234,空白,0,0,0
2235,空白,0,0,0
2236,空白,0,0,0
2237,空白,0,0,0
2238,空白,0,0,0
2239,,0,0,0
2240,,0,0,0
2241,,0,0,0
2242,,0,0,0
2243,,0,0,0
2244,,0,0,0
2245,,0,0,0
2246,,0,0,0
2247,,0,0,0
2248,,0,0,0
2249,,0,0,0
2250,,0,0,0
2251,,0,0,0
2252,,0,0,0
2253,,0,0,0
2254,,0,0,0
2255,,0,0,0
2256,,0,0,0
2257,,0,0,0
2258,,0,0,0
2259,,0,0,0
2260,,0,0,0
2261,,0,0,0
2262,,0,0,0
2263,,0,0,0
2264,,0,0,0
2265,,0,0,0
2266,無法升級,1,0,0
2267,是，但無法升級,1,0,0
2268,,0,0,0
2269,,0,0,0
2270,,0,0,0
2271,,0,0,0
2272,,0,0,0
2273,,0,0,0
2274,,0,0,0
2275,無法升級,1,0,0
2276,無法升級,1,0,0
2277,,0,0,0
2278,,0,0,0
2279,,0,0,0
2280,,0,0,0
2281,,0,0,0
2282,,0,0,0
2283,,0,0,0
2284,檔案沒繳齊,1,0,0
2285,檔案沒繳齊,1,0,0
2286,,0,0,0
2287,,0,0,0
2288,,0,0,0
2289,,0,0,0
2290,,0,0,0
2291,,0,0,0
2292,,0,0,0
2293,,0,0,0
2294,,0,0,0
2295,else if 的縮排可以稍微對齊,1,1,0
2296,,0,0,0
2297,,0,0,0
2298,,0,0,0
2299,,0,0,0
2300,,0,0,0
2301,,0,0,0
2302,沒有push到Pokemon和Gym檔案,1,0,0
2303,只有Main執行檔，沒其他類別檔案，無法執行,1,1,0
2304,,0,0,0
2305,,0,0,0
2306,,0,0,0
2307,,0,0,0
2308,,0,0,0
2309,,0,0,0
2310,,0,0,0
2311,,0,0,0
2312,,0,0,0
2313,,0,0,0
2314,,0,0,0
2315,,0,0,0
2316,,0,0,0
2317,,0,0,0
2318,,0,0,0
2319,Gym類別沒有任何註解,1,0,0
2320,,0,0,0
2321,,0,0,0
2322,,0,0,0
2323,,0,0,0
2324,,0,0,0
2325,,0,0,0
2326,,0,0,0
2327,,0,0,0
2328,,0,0,0
2329,,0,0,0
2330,,0,0,0
2331,,0,0,0
2332,,0,0,0
2333,,0,0,0
2334,,0,0,0
2335,,0,0,0
2336,,0,0,0
2337,,0,0,0
2338,檔案裏沒有程序,1,0,0
2339,檔案裏沒有程序,1,0,0
2340,檔案裏沒有程序,1,0,0
2341,檔案裏沒有程序,1,0,0
2342,檔案裏沒有程序,1,0,0
2343,檔案裏沒有程序,1,0,0
2344,檔案裏沒有程序,1,0,0
2345,檔案裏沒有程序,1,0,0
2346,檔案裏沒有程序,1,0,0
2347,,0,0,0
2348,,0,0,0
2349,,0,0,0
2350,,0,0,0
2351,,0,0,0
2352,,0,0,0
2353,,0,0,0
2354,,0,0,0
2355,,0,0,0
2356,沒檔案,0,0,0
2357,沒檔案,0,0,0
2358,沒檔案,0,0,0
2359,沒檔案,0,0,0
2360,沒檔案,0,0,0
2361,沒檔案,0,0,0
2362,沒檔案,0,0,0
2363,沒檔案,0,0,0
2364,沒檔案,0,0,0
2365,無法成功編譯,1,0,0
2366,建構子錯誤，無法編譯,1,1,0
2367,,0,0,0
2368,,0,0,0
2369,,0,0,0
2370,,0,0,0
2371,,0,0,0
2372,,0,0,0
2373,沒有class的註解,1,0,0
2374,沒有印出最後贏的寶可夢,1,1,0
2375,,0,0,0
2376,,0,0,0
2377,,0,0,0
2378,,0,0,0
2379,,0,0,0
2380,,0,0,0
2381,,0,0,0
2382,,0,0,0
2383,印出奇怪的東西(打完獲勝應該沒有要升級)3的糖果不足 只有2的糖果不足 只有2顆Enter the name of the Pokemon(type 'exit' to quit):,1,1,0
2384,,0,0,0
2385,,0,0,0
2386,,0,0,0
2387,,0,0,0
2388,,0,0,0
2389,,0,0,0
2390,,0,0,0
2391,沒有註解,1,0,0
2392,沒有照格式輸出,1,1,0
2393,是,0,0,0
2394,是,0,0,0
2395,是,0,0,0
2396,是,0,0,0
2397,是,0,0,0
2398,是,0,0,0
2399,是,0,0,0
2400,是,0,0,0
2401,class要分開寫，要英文輸出,1,1,0
2402,,0,0,0
2403,,0,0,0
2404,,0,0,0
2405,,0,0,0
2406,,0,0,0
2407,,0,0,0
2408,,0,0,0
2409,,0,0,0
2410,是,0,0,0
2411,是,0,0,0
2412,是,0,0,0
2413,是,0,0,0
2414,是,0,0,0
2415,是,0,0,0
2416,是,0,0,0
2417,是,0,0,0
2418,是,0,0,0
2419,是,0,0,0
2420,是,0,0,0
2421,是,0,0,0
2422,是,0,0,0
2423,是,0,0,0
2424,是,0,0,0
2425,是,0,0,0
2426,是,0,0,0
2427,是,0,0,0
2428,是,0,0,0
2429,是,0,0,0
2430,是,0,0,0
2431,是,0,0,0
2432,是,0,0,0
2433,是,0,0,0
2434,是,0,0,0
2435,是,0,0,0
2436,是,0,0,0
2437,沒看到東西,0,0,0
2438,沒看到東西,0,0,0
2439,沒看到東西,0,0,0
2440,沒看到東西,0,0,0
2441,沒看到東西,0,0,0
2442,沒看到東西,0,0,0
2443,沒看到東西,0,0,0
2444,沒看到東西,0,0,0
2445,沒看到東西,0,0,0
2446,沒看到東西,0,0,0
2447,沒看到東西,0,0,0
2448,沒看到東西,0,0,0
2449,沒看到東西,0,0,0
2450,沒看到東西,0,0,0
2451,沒看到東西,0,0,0
2452,沒看到東西,0,0,0
2453,沒看到東西,0,0,0
2454,沒看到東西,0,0,0
2455,,0,0,0
2456,,0,0,0
2457,,0,0,0
2458,,0,0,0
2459,,0,0,0
2460,,0,0,0
2461,,0,0,0
2462,,0,0,0
2463,,0,0,0
2464,,0,0,0
2465,,0,0,0
2466,,0,0,0
2467,,0,0,0
2468,,0,0,0
2469,,0,0,0
2470,,0,0,0
2471,,0,0,0
2472,,0,0,0
2473,,0,0,0
2474,,0,0,0
2475,,0,0,0
2476,,0,0,0
2477,,0,0,0
2478,,0,0,0
2479,,0,0,0
2480,,0,0,0
2481,,0,0,0
2482,未完成,0,0,0
2483,未完成,0,0,0
2484,未完成,0,0,0
2485,未完成,0,0,0
2486,未完成,0,0,0
2487,未完成,0,0,0
2488,未完成,0,0,0
2489,未完成,0,0,0
2490,未完成,0,0,0
2491,,0,0,0
2492,,0,0,0
2493,,0,0,0
2494,,0,0,0
2495,,0,0,0
2496,,0,0,0
2497,,0,0,0
2498,,0,0,0
2499,,0,0,0
2500,,0,0,0
2501,,0,0,0
2502,,0,0,0
2503,,0,0,0
2504,,0,0,0
2505,,0,0,0
2506,,0,0,0
2507,,0,0,0
2508,,0,0,0
2509,,0,0,0
2510,,0,0,0
2511,,0,0,0
2512,,0,0,0
2513,,0,0,0
2514,,0,0,0
2515,,0,0,0
2516,,0,0,0
2517,,0,0,0
2518,沒有寫,0,0,0
2519,是,0,0,0
2520,是,0,0,0
2521,蠻整齊的,1,0,0
2522,沒有變數,1,0,0
2523,沒有其他類別,1,0,0
2524,否,0,0,0
2525,是,0,0,0
2526,否,0,0,0
2527,否,0,0,0
2528,是,0,0,0
2529,是,0,0,0
2530,,0,0,0
2531,否,0,0,0
2532,否,0,0,0
2533,否,0,0,0
2534,否,0,0,0
2535,否,0,0,0
2536,PASS,0,0,0
2537,PASS,0,0,0
2538,PASS,0,0,0
2539,PASS,0,0,0
2540,PASS,0,0,0
2541,PASS,0,0,0
2542,PASS,0,0,0
2543,PASS,0,0,0
2544,PASS,0,0,0
2545,是,0,0,0
2546,是,0,0,0
2547,非常整齊 看了很舒服,1,0,0
2548,是,0,0,0
2549,是,0,0,0
2550,是,0,0,0
2551,是,0,0,0
2552,是,0,0,0
2553,是，程式碼排列整齊，讀起來很讚´-ω-)b,1,0,0
2554,有些小錯誤，題目要求輸入exit後才跳出程式，其餘寶可夢的生成，戰鬥皆沒有問題,1,1,1
2555,是,0,0,0
2556,是,0,0,0
2557,是,0,0,0
2558,是,0,0,0
2559,是,0,0,0
2560,是,0,0,0
2561,是,0,0,0
2562,註解相當清楚好懂，讚讚(＊゜ー゜)b,1,1,0
2563,是,0,0,0
2564,是,0,0,0
2565,是，非常整齊好讀,1,0,0
2566,是,0,0,0
2567,是,0,0,0
2568,是,0,0,0
2569,是,0,0,0
2570,是,0,0,0
2571,是，註解清晰明瞭，容易閱讀，讚讚´-ω-)b,1,0,0
2572,只有Main類別，沒有Pokemon等其他類別，無法執,1,1,0
2573,編譯不成功,0,0,0
2574,排版整齊,1,0,0
2575,括號一致,0,0,0
2576,變數命名符合,1,0,0
2577,類別命名符合，但還有其他類別沒有創建,1,1,0
2578,沒有宣告方法,1,0,0
2579,符合,1,0,0
2580,沒有註解說明,1,0,0
2581,符合要求，但是最後輸出的結果與題目有點不同，像是沒有印出他們在哪裡戰鬥之類的,1,1,0
2582,編譯成功,0,0,0
2583,排版整齊,1,0,0
2584,括號一致 ,0,0,0
2585,符合,1,0,0
2586,符合,1,0,0
2587,符合,1,0,0
2588,符合,1,0,0
2589,有註解說明,1,0,0
2590,完全符合,1,0,0
2591,編譯成功,0,0,0
2592,排版整齊,1,0,0
2593,括號一致 ,0,0,0
2594,符合,1,0,0
2595,符合,1,0,0
2596,符合,1,0,0
2597,符合,1,0,0
2598,有註解說明,1,0,0
2599,完全符合,1,0,0
2600,編譯成功,0,0,0
2601,排版整齊,1,0,0
2602,括號一致,0,0,0
2603,符合,1,0,0
2604,符合,1,0,0
2605,符合,1,0,0
2606,符合,1,0,0
2607,有註解說明,1,0,0
2608,符合，但題目中gym的名字是在輸入exit後才要求輸入的,1,1,0
2609,編譯成功,0,0,0
2610,排版整齊,1,0,0
2611,括號一致,0,0,0
2612,符合,1,0,0
2613,符合,1,0,0
2614,符合,1,0,0
2615,符合,1,0,0
2616,有註解說明,1,0,0
2617,完全符合!很棒,1,0,0
2618,可編譯成功,0,0,0
2619,非常整齊,1,0,0
2620,括號一致,0,0,0
2621,符合,1,0,0
2622,符合,1,0,0
2623,符合,1,0,0
2624,符合,1,0,0
2625,有清楚的註解說明!很讚,1,0,0
2626,不做作業,0,0,0
2627,不做作業,0,0,0
2628,不做作業,0,0,0
2629,不做作業,0,0,0
2630,不做作業,0,0,0
2631,不做作業,0,0,0
2632,不做作業,0,0,0
2633,不做作業,0,0,0
2634,不做作業,0,0,0
2635,,0,0,0
2636,,0,0,0
2637,,0,0,0
2638,,0,0,0
2639,,0,0,0
2640,,0,0,0
2641,,0,0,0
2642,,0,0,0
2643,,0,0,0
2644,,0,0,0
2645,,0,0,0
2646,,0,0,0
2647,,0,0,0
2648,,0,0,0
2649,,0,0,0
2650,,0,0,0
2651,,0,0,0
2652,,0,0,0
2653,,0,0,0
2654,,0,0,0
2655,,0,0,0
2656,不,0,0,0
2657,,0,0,0
2658,,0,0,0
2659,,0,0,0
2660,,0,0,0
2661,,0,0,0
2662,,0,0,0
2663,,0,0,0
2664,,0,0,0
2665,,0,0,0
2666,,0,0,0
2667,,0,0,0
2668,,0,0,0
2669,monster2.name=name; monster2.type=type; monster2.level=level; monster2.candy=candy;,1,1,0
2670,,0,0,0
2671,,0,0,0
2672,,0,0,0
2673,,0,0,0
2674,,0,0,0
2675,,0,0,0
2676,,0,0,0
2677,,0,0,0
2678,,0,0,0
2679,不,0,0,0
2680,"entering gym should be in the last input, winner and status should be only once at the end of the program",1,1,0
2681,pass,0,0,0
2682,pass,0,0,0
2683,,0,0,0
2684,pass,0,0,0
2685,pass,0,0,0
2686,pass,0,0,0
2687,pass,0,0,0
2688,no explanation,1,0,0
2689,did not do homework,0,0,0
2690,did not do homework,0,0,0
2691,did not do homework,0,0,0
2692,did not do homework,0,0,0
2693,did not do homework,0,0,0
2694,did not do homework,0,0,0
2695,did not do homework,0,0,0
2696,did not do homework,0,0,0
2697,did not do homework,0,0,0
2698,"gym name should be inputted at the end of the input after inputting exit"" and winner should be outputted only once at the end of the program. Not every a pokemon inputted.""",1,1,0
2699,pass,0,0,0
2700,pass,0,0,0
2701,pass,0,0,0
2702,pass,0,0,0
2703,pass,0,0,0
2704,pass,0,0,0
2705,pass,0,0,0
2706,pass,0,0,0
2707,跟要求符合,1,0,0
2708,	編譯成功,0,0,0
2709,寫程式的很整齊,1,0,0
2710,有一致性,0,0,0
2711,都很明確,0,0,0
2712,類別名稱也沒問題,1,0,0
2713,都很符合,1,0,0
2714,"if, else 跟 return 寫在同一行但閲讀上沒問題",1,1,0
2715,注解説明有幫助瞭解程式,1,0,0
2716,跟要求符合，只有levelUp()方法會收到parameter(candy)，這樣instance(物件)的candy不變,1,1,0
2717,編譯成功,0,0,0
2718,寫得很整齊,1,0,0
2719,	有一致性,0,0,0
2720,變數名很符合,1,0,0
2721,類別命名也很符合,1,0,0
2722,感覺要 toStirng() -> displayInfo(),1,1,0
2723,幾乎都是，閲讀上沒問題,1,0,0
2724,有注解説明,1,0,0
2725,跟要求符合，只是 Pokemon 建構子（Constructor）**： - 創建一個建構子，**接受四個參數**來初始化上述屬性。 Gym 建構子（Constructor）**： - 創建一個建構子，接受一個參數來初始化 `name` 屬性。,1,1,1
2726,編譯成功,0,0,0
2727,寫得很整齊,1,0,0
2728,有一致性,0,0,0
2729,很符合，很標准,1,0,0
2730,都沒問題,0,0,0
2731,也都沒問題,1,0,0
2732,是的，一行一個敘述,1,0,0
2733,有注解説明,1,0,0
2734,跟要求符合，在Gym建構子裡面輸入Gym.name有點神奇，還有雖然沒有關係，在Pokemon.class裡面有一行不會用的Scanner statement,1,1,0
2735,編譯成功,0,0,0
2736,排版很整齊,1,0,0
2737,幾乎有一致性,0,0,0
2738,變數名符合,1,0,0
2739,類別名符合,1,0,0
2740,方法名符合,1,0,0
2741,是的，每行只有一個敘述,1,0,0
2742,有注解説明,1,0,0
2743,跟要求符合，只是不確定在Gym.class裡面可不可以寫多一個方法: typeAdvantage，還有雖然結果跟範例輸出格式不一樣但輸出的方式很好的感覺,1,1,1
2744,編譯成功,0,0,0
2745,排版很整齊,1,0,0
2746,有一致性,0,0,0
2747,便署名很符合,1,0,0
2748,類別名很符合,1,0,0
2749,方法名很符合,1,0,0
2750,"好像是，因爲看起來if (type1.equals(火"") && type2.equals(""草"") ||                type1.equals(""草"") && type2.equals(""水"") ||                type1.equals(""水"") && type2.equals(""火"")) {這樣3行a statement，但看的時候沒問題""",1,1,0
2751,有注解説明,1,0,0
2752,要求幾乎都符合，但再次看輸入輸出的範例比較好的感覺,1,1,0
2753,編譯成功,0,0,0
2754,排版整齊,1,0,0
2755,幾乎都有一致性,1,0,0
2756,變數名很符合,1,0,0
2757,類別名很符合,1,0,0
2758,方法名很符合,1,0,0
2759,是的,0,0,0
2760,有注解説明,1,0,0
2761,可以加上Enter the name of the Pokemon(type 'exit' to quit): 讓使用者知道要輸入什麼,1,1,1
2762,符合,1,0,0
2763,符合,1,0,0
2764,符合,1,0,0
2765,符合,1,0,0
2766,符合,1,0,0
2767,符合,1,0,0
2768,符合,1,0,0
2769,符合,1,0,0
2770,當使用者輸入 exit 時，退出遊戲，才需要印出最後勝利的寶可夢名稱、屬性、等級與總共創建的寶可夢數量。,1,1,1
2771,符合,1,0,0
2772,符合,1,0,0
2773,符合,1,0,0
2774,符合,1,0,0
2775,符合,1,0,0
2776,符合,1,0,0
2777,符合,1,0,0
2778,符合,1,0,0
2779,最後應該是在使用者輸入 exit 時，退出遊戲，只需印出最後勝利的寶可夢名稱、屬性、等級與總共創建的寶可夢數量。,1,1,1
2780,符合,1,0,0
2781,符合,1,0,0
2782,符合,1,0,0
2783,符合,1,0,0
2784,符合,1,0,0
2785,generatetype 命名不符合,1,1,0
2786,符合,1,0,0
2787,符合,1,0,0
2788,,0,0,0
2789,,0,0,0
2790,,0,0,0
2791,,0,0,0
2792,,0,0,0
2793,,0,0,0
2794,,0,0,0
2795,,0,0,0
2796,,0,0,0
2797,,0,0,0
2798,,0,0,0
2799,,0,0,0
2800,,0,0,0
2801,,0,0,0
2802,,0,0,0
2803,,0,0,0
2804,,0,0,0
2805,,0,0,0
2806,,0,0,0
2807,,0,0,0
2808,,0,0,0
2809,,0,0,0
2810,,0,0,0
2811,,0,0,0
2812,,0,0,0
2813,,0,0,0
2814,,0,0,0
2815,Pokemon類別的建構子中呼叫 PokemonUtil 的靜態方法來初始化 type、level 、 candy 和 靜態pokemonCount : 沒做到,1,1,0
2816,,0,0,0
2817,,0,0,0
2818,,0,0,0
2819,,0,0,0
2820,,0,0,0
2821,,0,0,0
2822,,0,0,0
2823,沒有任何註解,1,0,0
2824,輸入完寶可夢不用顯示資訊，而是輸入第二隻去對戰，贏的那一方再去跟輸入的第三隻對戰，直到最後輸入exit，顯示最後贏家,1,1,0
2825,,0,0,0
2826,,0,0,0
2827,,0,0,0
2828,,0,0,0
2829,,0,0,0
2830,,0,0,0
2831,,0,0,0
2832,註解太少，不易閱讀,1,0,0
2833,Gym name 是等輸入exit後再輸入唷！,1,1,0
2834,,0,0,0
2835,,0,0,0
2836,,0,0,0
2837,,0,0,0
2838,,0,0,0
2839,,0,0,0
2840,,0,0,0
2841,註解寫得很詳細！,1,0,0
2842,讚,0,0,0
2843,讚,0,0,0
2844,讚,0,0,0
2845,讚,0,0,0
2846,讚,0,0,0
2847,讚,0,0,0
2848,讚,0,0,0
2849,讚,0,0,0
2850,有些漏了,0,0,0
2851,空的,0,0,0
2852,空的,0,0,0
2853,空的,0,0,0
2854,空的,0,0,0
2855,空的,0,0,0
2856,空的,0,0,0
2857,空的,0,0,0
2858,空的,0,0,0
2859,空的,0,0,0
2860,可,0,0,0
2861,可,0,0,0
2862,可再排整齊,1,0,1
2863,可,0,0,0
2864,可,0,0,0
2865,可,0,0,0
2866,可,0,0,0
2867,可,0,0,0
2868,可再註解清楚,1,0,1
2869,多輸出了“糖果數量不足以升級！”,1,1,0
2870,是,0,0,0
2871,是,0,0,0
2872,是,0,0,0
2873,是,0,0,0
2874,是,0,0,0
2875,是,0,0,0
2876,是,0,0,0
2877,詳細註解,1,0,0
2878,功能齊全,1,0,0
2879,是,0,0,0
2880,是,0,0,0
2881,是,0,0,0
2882,是,0,0,0
2883,是,0,0,0
2884,是,0,0,0
2885,是,0,0,0
2886,詳細註解,1,0,0
2887,輸出時 每創造一個寶可夢會print這隻的資料不符合題目規則,1,1,0
2888,是,0,0,0
2889,是,0,0,0
2890,是,0,0,0
2891,是,0,0,0
2892,是,0,0,0
2893,是,0,0,0
2894,是,0,0,0
2895,註解詳盡,1,0,0
2896,,0,0,0
2897,,0,0,0
2898,,0,0,0
2899,,0,0,0
2900,,0,0,0
2901,,0,0,0
2902,,0,0,0
2903,,0,0,0
2904,,0,0,0
2905,打完應該沒有要升級吧，途中出現糖果數量不足的輸出,1,1,0
2906,,0,0,0
2907,,0,0,0
2908,,0,0,0
2909,,0,0,0
2910,,0,0,0
2911,,0,0,0
2912,,0,0,0
2913,沒有註解,1,0,0
2914,完全符合,1,0,0
2915,可編譯成功,0,0,0
2916,排版整齊,1,0,0
2917,括號一致,0,0,0
2918,符合,1,0,0
2919,符合,1,0,0
2920,符合,1,0,0
2921,符合,1,0,0
2922,有註解說明,1,0,0
2923,輸出更詳細的顯示每輪勝，但是PokemonUtil，Pokemon，Gym不用開新的class檔嗎,1,1,1
2924,,0,0,0
2925,,0,0,0
2926,,0,0,0
2927,,0,0,0
2928,,0,0,0
2929,,0,0,0
2930,,0,0,0
2931,,0,0,0
2932,符合，但題目中gym的名字是在輸入exit後才要求輸入的,1,1,0
2933,編譯成功 ,0,0,0
2934,排版整齊,1,0,0
2935,括號一致,0,0,0
2936,符合,1,0,0
2937,符合,1,0,0
2938,符合,1,0,0
2939,符合,1,0,0
2940,有詳細註解說明,1,0,0
2941,完全符合!很棒!,1,0,0
2942,可編譯成功,0,0,0
2943,排版非常整齊,1,0,0
2944, 括號一致,0,0,0
2945,符合,1,0,0
2946,符合,1,0,0
2947,符合,1,0,0
2948,符合,1,0,0
